PAYLOAD
0,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""2\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
1,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""4\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
2,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""5\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
3,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""6\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
4,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""7\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
5,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""8\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
6,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""9\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
7,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""12\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
8,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""13\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
9,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""14\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
10,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""15\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
11,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""17\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
12,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""18\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
13,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""19\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
14,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""26\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
15,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""27\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
16,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""28\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
17,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""29\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
18,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""30\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
19,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""31\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
20,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""32\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
21,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""35\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
22,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""36\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
23,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""43\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
24,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""44\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
25,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""45\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
26,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""46\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
27,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""47\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
28,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""51\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
29,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""52\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
30,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""53\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
31,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""54\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
32,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""55\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
33,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""57\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
34,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""58\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
35,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""59\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
36,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""60\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
37,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""61\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
38,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""62\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
39,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""64\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
40,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""65\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
41,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""101\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
42,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""102\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
43,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""103\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
44,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""104\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
45,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""105\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
46,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""106\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
47,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""107\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
48,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""109\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
49,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""110\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
50,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""111\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
51,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""112\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
52,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""113\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
53,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""114\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
54,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""116\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
55,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""117\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
56,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""118\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
57,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""119\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
58,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""121\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
59,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""122\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
60,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""123\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
61,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""124\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
62,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""125\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
63,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""126\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
64,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""127\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
65,"{""calendarCode"":""1"",""schoolReference"":""{\""schoolId\"":\""129\""}"",""schoolYearTypeReference"":""{\""schoolYear\"":\""2017\""}"",""calendarTypeDescriptor"":""School"",""gradeLevels"":""'abc'""}"
